키값,연도,학교종류,학교명,본분교,학교상태,설립,우편번호,주소,도로명주소,행정시,행정구,행정동,전화번호,팩스번호,홈페이지,위도,경도
BE_LiST23-0061,2013,일반대학,한양대학교,본교,기존,사립,,서울특별시 성동구 왕십리로 222 ,,서울특별시,성동구,사근동,02-2220-0114,,http://www.hanyang.ac.kr,37.55450355,127.0466112
BE_LiST23-0062,2013,전문대학(2년제),한양여자대학교,본교,기존,사립,,서울 성동구 행당동 살곶이길 200,,서울특별시,성동구,사근동,02-2290-2114,02-2291-6111,http://www.hywoman.ac.kr,37.55791759,127.0493219
BE_LiST23-0063,2013,일반대학,한영신학대학교,본교,기존,사립,,서울 구로구 경인로 290-42  한영신학대학교,,서울특별시,구로구,개봉1동,02-2067-4500,02-2616-4102,http://www.hytu.ac.kr,37.49656611,126.8512505
BE_LiST23-0064,2013,일반대학,홍익대학교,본교,기존,사립,,서울특별시 마포구 와우산로 94(상수동),,서울특별시,마포구,서강동,02-320-1114,02-320-1122,http://www.hongik.ac.kr/,37.55251925,126.9249906
BE_LiST23-0001,2013,일반대학,가톨릭대학교,제2캠퍼스,기존,사립,,서울 서초구 반포동 505,,서울특별시,서초구,반포4동,,,http://songeui.catholic.ac.kr,37.50007959,127.0052468
BE_LiST23-0002,2013,일반대학,가톨릭대학교,제3캠퍼스,기존,사립,,서울 종로구 창경궁로 296-12(혜화동) ,,서울특별시,종로구,이화동,02-740-9714,02-741-2801,http://catholic.ac.kr,37.58490098,127.0047707
BE_LiST23-0003,2013,일반대학,감리교신학대학교,본교,기존,사립,,서울 서대문구 냉천동 31,,서울특별시,서대문구,천연동,02-361-9114,02-361-9299,http://www.mtu.ac.kr,0,0
BE_LiST23-0004,2013,일반대학,건국대학교,본교,기존,사립,,서울 광진구 화양동,,서울특별시,광진구,화양동,02-450-3114,02-450-4126,http://www.konkuk.ac.kr,37.54647626,127.0713676
BE_LiST23-0005,2013,일반대학,경기대학교,제2캠퍼스,기존,사립,,서울 서대문구 경기대로9길 24 경기대학교,,서울특별시,서대문구,충현동,02-390-5114,031-249-8718,http://www.kyonggi.ac.kr,37.56519469,126.9622242
BE_LiST23-0006,2013,일반대학,경희대학교,본교,기존,사립,,서울 동대문구 경희대로 26,,서울특별시,동대문구,회기동,02-961-0114,02-961-0930,http://www.khu.ac.kr,0,0
BE_LiST23-0007,2013,일반대학,고려대학교,본교,기존,사립,,서울 성북구 안암로 145,,서울특별시,성북구,안암동,02-3290-1114,,http://www.korea.ac.kr,0,0
BE_LiST23-0008,2013,일반대학,광운대학교,본교,기존,사립,,서울특별시 노원구 월계동 447-1,,서울특별시,노원구,월계1동,,,http://www.kw.ac.kr,37.61970332,127.0596707
BE_LiST23-0009,2013,일반대학,국민대학교,본교,기존,사립,,서울 성북구 정릉로 77,,서울특별시,성북구,정릉3동,02-910-4114,,http://www.kookmin.ac.kr,0,0
BE_LiST23-0010,2013,전공대학,국제예술대학,본교,기존,사립,,서울 강남구 논현동 79,,서울특별시,강남구,논현2동,02-542-8197,02-517-1392,http://www.kica.ac.kr,37.51690578,127.031004
BE_LiST23-0011,2013,일반대학,그리스도대학교,본교,기존,사립,,서울 강서구 까치산로24길 47,,서울특별시,강서구,화곡본동,02-2600-2400,02-2698-8876,http://kcu.ac.kr,0,0
BE_LiST23-0012,2013,일반대학,덕성여자대학교,본교,기존,사립,,서울특별시 도봉구 삼양로 144길 33,,서울특별시,도봉구,쌍문1동,02-901-8000,,http://www.duksung.ac.kr,37.64950908,127.0163952
BE_LiST23-0013,2013,일반대학,동국대학교,본교,기존,사립,,서울 중구 필동로1길 30,,서울특별시,중구,필동,02-2260-3114,02-2277-1274,http://www.dongguk.edu,0,0
BE_LiST23-0014,2013,일반대학,동덕여자대학교,본교,기존,사립,,서울 성북구 화랑로13길 60,,서울특별시,성북구,삼선동,02-940-4000,02-940-4182,http://www.dongduk.ac.kr,0,0
BE_LiST23-0015,2013,전문대학(3년제),동양미래대학교,본교,기존,사립,,서울시 구로구 경인로 445 동양미래대학교 (고척동 62-160),,서울특별시,구로구,고척1동,02-2610-1700,02-2688-5494,http://www.dongyang.ac.kr/,37.49999579,126.8681697
BE_LiST23-0016,2013,사이버대학(대학),디지털서울문화예술대학교,본교,기존,사립,,서울시 서대문구 통일로 37길 60 (홍제동 318-18),,서울특별시,서대문구,홍제1동,02-2287-0222,02-379-8828,http://www.scau.ac.kr,37.58544374,126.9438792
BE_LiST23-0017,2013,일반대학,명지대학교 인문캠퍼스,제2캠퍼스,기존,사립,,서울 서대문구 남가좌동 50-3,,서울특별시,서대문구,남가좌2동,02-300-1556,02-300-1556,http://www.mju.ac.kr,37.58022754,126.9231207
BE_LiST23-0018,2013,전문대학(3년제),명지전문대학,본교,기존,사립,,서울 서대문구 가좌로 134 명지전문대학 ,,서울특별시,서대문구,홍은2동,02-300-1000,02-304-4832,http://www.mjc.ac.kr,37.5853653,126.9256899
BE_LiST23-0019,2013,전문대학(3년제),배화여자대학교,본교,기존,사립,,서울 종로구 필운대로 1길 34 배화여자대학교,,서울특별시,종로구,청운효자동,02-399-0700,02-737-8431,http://www.baewha.ac.kr,37.57954401,126.9672919
BE_LiST23-0020,2013,전공대학,백석예술대학교,본교,기존,사립,,서울 서초구 방배로9길 23 백석예술대학교,,서울특별시,서초구,방배3동,02-520-0700,02-520-0879,http://www.bau.ac.kr,37.48037139,126.996897
BE_LiST23-0021,2013,사이버대학(대학),사이버한국외국어대학교,본교,기존,사립,,서울 동대문구 이문로 107,,서울특별시,동대문구,이문1동,02-2173-2580,02-966-6183,http://www.cufs.ac.kr,0,0
BE_LiST23-0022,2013,일반대학,삼육대학교,본교,기존,사립,,서울시 노원구 화랑로 815(공릉2동 26-21),,서울특별시,노원구,공릉2동,02-3399-3636,02-979-5318,http://www.syu.ac.kr,37.64335737,127.1088503
BE_LiST23-0023,2013,전문대학(3년제),삼육보건대학교,본교,학교명 변경,사립,,서울 동대문구 휘경2동,,서울특별시,동대문구,휘경2동,02-2212-0082,02-2215-2380,http://www.shu.ac.kr,37.5901077,127.0686148
BE_LiST23-0024,2013,일반대학,상명대학교,본교,기존,사립,,서울 종로구 홍지문2길 20,,서울특별시,종로구,부암동,02-2287-5114,02-2287-0031,http://www.smu.ac.kr,0,0
BE_LiST23-0025,2013,일반대학,서강대학교,본교,기존,사립,,서울 마포구 백범로 35,,서울특별시,마포구,대흥동,02-705-8114,,http://www.sogang.ac.kr,0,0
BE_LiST23-0026,2013,일반대학,서경대학교,본교,기존,사립,,서울 성북구 서경로 124,,서울특별시,성북구,정릉3동,02-940-7114,02-919-0345,http://www.skuniv.ac.kr,0,0
BE_LiST23-0027,2013,일반대학,서울과학기술대학교,본교,학제 변경,국립,,서울 노원구 공릉로 232 (공릉동 172),,서울특별시,노원구,공릉2동,02-970-6114,02-970-6088,http://www.seoultech.ac.kr,37.63307893,127.0767947
BE_LiST23-0028,2013,방송통신대학,한국방송통신대학교 종로캠퍼스,본교,기존,국립,,서울 종로구 대학로 86,,서울특별시,종로구,이화동,02-3668-4114,02-744-5882,http://www.knou.ac.kr,0,0
BE_LiST23-0029,2013,교육대학,서울교육대학교,본교,기존,국립,,서울 서초구 서초중앙로 96(서초동 1650),,서울특별시,서초구,서초1동,02-3475-2114,02-581-7711,http://www.snue.ac.kr,37.49074049,127.0154245
BE_LiST23-0030,2013,일반대학,서울기독대학교,본교,기존,사립,,서울 은평구 갈현로 4길 26-2호,,서울특별시,은평구,신사1동,02-380-2500,02-380-2535,http://www.scu.ac.kr,37.60075686,126.9121924
BE_LiST23-0031,2013,일반대학,서울대학교,본교,기존,국립대법인,,서울 관악구 관악로 1 서울대학교,,서울특별시,관악구,낙성대동,02-880-5114,02-885-5272,http://www.snu.ac.kr,37.46803806,126.9592943
BE_LiST23-0032,2013,사이버대학(대학),서울디지털대학교,본교,기존,사립,,서울 마포구 도화동 560번지,,서울특별시,마포구,도화동,02-1644-0982,02-2128-3006,http://www.sdu.ac.kr,37.54296845,126.9478555
BE_LiST23-0033,2013,사이버대학(대학),서울사이버대학교,본교,기존,사립,,서울 강북구 솔매로49길 60(미아동 193-15) 서울사이버대학교,,서울특별시,강북구,미아동,02-944-5000,02-980-2222,http://www.iscu.ac.kr,37.62984392,127.0271231
